id,url,visit_time,from_visit,transition,segment_id,visit_duration,incremented_omnibox_typed_score
2817,1390,13197808869373976,0,805306368,0,239136295,0
2818,1391,13197808875655696,0,805306368,0,234601430,0
2819,1392,13197808881958946,0,805306368,0,228768311,0
2820,1393,13197809123329420,0,838860805,0,497085817,0
2821,1394,13197809132378072,0,805306368,0,488316612,0
2822,1385,13197809135765860,0,805306368,0,0,0
2823,1385,13197809135804076,0,805306368,0,485131857,0
2824,1395,13197809138714926,0,805306368,0,0,0
2825,1395,13197809138806676,0,805306368,0,482746779,0
2826,1396,13197809144171428,0,805306368,0,478099870,0
2827,1397,13197809144920200,0,805306368,0,476999086,0
2828,1398,13197809148648184,0,805306368,0,474240464,0
2829,1399,13197809156746744,0,268435456,0,0,0
2830,1400,13197809156746744,2829,-2147483648,0,0,0
2831,1401,13197809156746744,2830,-2147483648,0,0,0
2832,1402,13197809156746744,2831,-2147483648,0,0,0
2833,1399,13197809156746744,2832,-1610612736,0,466591336,0
2834,1403,13197809319632792,0,805306368,0,302928218,0
2835,1404,13197809631113816,0,838860805,0,217077516,0
2836,1405,13197809635717388,0,805306368,0,212805748,0
2837,1406,13197809637390494,0,805306368,0,211458685,0
2838,1407,13197809640906020,0,805306368,0,208404148,0
2839,1408,13197809865003398,0,838860805,0,0,0
2840,1409,13197809869269894,0,805306368,0,633257835,0
2841,1410,13197809890381680,0,268435456,0,0,0
2842,1411,13197809890381680,2841,-1610612736,0,612588937,0
2843,1412,13197809892831260,0,805306368,0,610599943,0
2844,1413,13197810514700338,0,805306375,0,0,0
2845,1414,13197810523032176,0,805306375,0,0,0
2846,1415,13197810530349296,0,805306375,0,0,0
2847,1416,13197810553546680,0,805306368,0,0,0
2848,1417,13197810563627820,0,805306368,0,318995949,0
2849,1418,13197810571544896,0,805306368,0,0,0
2850,1419,13197810602449990,0,805306368,0,0,0
2851,1420,13197810628416852,0,805306368,0,254738916,0
2852,1421,13197810632889794,0,805306368,0,0,0
2853,1422,13197810640235524,0,805306368,0,241992045,0
2854,1423,13197810681950652,0,838860805,0,0,0
2855,1424,13197810689643254,0,805306368,0,115339181,0
2856,1425,13197810781970408,0,805306375,0,0,0
2857,1426,13197810790366254,0,805306368,0,93607185,0
